figi,cap
BBG000BJDB15,27793740825.6
BBG000BJF1Z8,64973949162.42
BBG000BB6M98,14589118208.385
BBG000CXYSZ6,8972391790.44
BBG000BK2F42,32111477235.18
BBG000BJKPG0,29253022935.78
BBG000BJL3N0,23117582600
BBG000BX8DC4,5956042643.46
BBG000BHK836,6844181417.26
BBG000BB1TH9,8076369768.3072
BBG000FFH4P5,5597710478.45
BBG000BJP882,11405538380.9
BBG000BQD1J2,68327680999.68
BBG000DWYF03,68327680999.68
BBG000BJVN28,8194291639.33
BBG00DL8NMV2,13737623807.57
BBG00BLVZ228,26056306500
BBG000BK67C7,66810064725
BBG000BK6MB5,129127345650
BBG000BG3HG3,21111022920
BBG000CKGBP2,106955160000
BBG000BKCFC2,32247711522.63
BBG000BKFZM4,25273430063.55
BBG000NDYB67,58496699288.915
BBG009S3NB30,755959894028.204
BBG009S39JX6,755959894028.204
BBG000BKL348,14734656348
BBG000CX0P89,17728707805.875
BBG000BKLH74,12902277682.14
BBG000C4LN67,12166875000
BBG000C6CFJ5,104466406160.48
BBG000BKNX95,7181106116.4
BBG000BKR1D6,15277232578.545
BBG000BKTFN2,40818918305.27
BBG000BKVJK4,12175308531.5
BBG000BKWSR6,17111380166.45
BBG000D2ZTS8,7442621144.42
BBG000QW7VC1,35450315920
BBG000BKY1G5,20373329493.35
BBG000BKYDP9,10402867671.92
BBG000BKZB36,215928397139.29
BBG000BBD070,14359304344.56
BBG000G0Z878,19463440000
BBG001KJ2HM9,11482911000
BBG0058KMH30,26715141898.65
BBG000BKZTP3,7994020622.5
BBG000C3NTN5,10856530660.04
BBG000H556T9,115244311557.25
BBG000BLCPY4,7093761469.92
BBG0078W3NQ3,25558453009.765
BBG000KHWT55,35232565907.605
BBG000BLDV98,5758803263.675
BBG000BLF8D2,18016481904.12
BBG000BLGFJ9,18479106538.92
BBG000BNMMJ3,10633660058
BBG000BL8804,14442821066.88
BBG000BLHRS2,21245470255.66
BBG000BLKK03,36815283310.4
BBG000BLNNH6,144006848847.9
BBG000C1FB75,42000888363.91
BBG000BLRT07,15713619877.7042
BBG000BLSL58,11300841538.22
BBG000DSMS70,33614490000
BBG000BNPSQ9,17938171265
BBG006G063F9,18426762359.52
BBG000C0G1D1,213922800000
BBG000BH5DV1,43051442318
BBG000BM5SR2,24152171002.9
BBG000C90DH9,9726873082.79
BBG00333FYS2,20772542000
BBG000BM6788,22967325471.09
BBG000KCZPC3,9453037763.79
BBG000BJPDZ1,46852058853.84
BBG000BB65D0,10782988669.05
BBG000BMBL90,55511425709.07
BBG000BY2Y78,13490582484.2
BBG000BMDBZ1,13154862134.7
BBG000BVWLJ6,35284614978
BBG000BMFFQ0,8970630768.48
BBG000BMHYD1,351692339745.5
BBG000BY33P5,10104317765.85
BBG000DMBXR2,399851175493.48
BBG000G8N9C6,8497365673.5
BBG000BMKDM3,23982707058.96
BBG000BMQPL1,22561884761.9
BBG005CPNTQ2,87802792262.16
BBG000CN3S73,6329361670.6
BBG000BMTFR4,16794376003.75
BBG000BMW2Z0,40567949517.375
BBG0019JZ882,38286287300.82
BBG000BLMZK6,11615861644.68
BBG000BMX289,190068368966.76
BBG0029SNR63,9802210730.1
BBG000BMY992,25315531081.4208
BBG000CS7CT9,10907710795.975
BBG000BMZ7P7,11074140285.84
BBG000C45984,16332751210.57
BBG000BNGTQ7,13915673226.1
BBG000BN53G7,5943646475.82
BBG000BN5HF7,19190421794.81
BBG000D9DMK0,17649066000
BBG000PXDL44,12930407696.24
BBG000BMDZF0,16580201387
BBG000BNBDC2,85995496929.1
BBG000C1BW00,102819745657.1
BBG000BNC3Y9,16865184093.03
BBG000DW4Q75,8996161647.6
BBG000BNDN65,79756588583.64
BBG000BNFLM9,30017477077.64
BBG000BNHSP9,8897919873.3
BBG000BNJHS8,34118794963.19
BBG000WCFV84,43600100000
BBG000C46HM9,8000958723.79
BBG000F1ZSQ2,182783271123.6
BBG000BLMY92,10095760193.9
BBG000BL9C59,8634471641.4
BBG000BGD7W6,51602834795.82
BBG000BNNKG9,13416290115
BBG000BNNYW1,5863166799.125
BBG000BNSZP1,127912413522.54
BBG000BHCP19,19159888667.36
BBG000DYGNW7,30374181514.265
BBG000F86GP6,31723555500
BBG000D4LWF6,65146474139.266
BBG000BNWG87,111907214640
BBG000BB6KF5,48850916000
BBG000C2BXK4,19809177192.55
BBG000FLZN98,18720583113.91
BBG000G6Y5W4,13660260531.002
BBG000BGYMH7,13941785000
BBG000BP4MH0,42063609598.92
BBG000BP52R2,138942060000
BBG008NVB1C0,36792965692
BBG000BP6LJ8,123524809704.24
BBG000BFWKC0,53288408712
BBG000BFXHL6,9102682293.6051
BBG001DCCGR8,33128997491.1
BBG000BPD168,151342466184.25
BBG000C8H633,13849515408.6
BBG000BLZRJ2,99832372460.3361
BBG000BPH459,711845849167.4
BBG000BP8Z50,17149299039.72
BBG000D9KWL9,28631033110.74
BBG000BZCKH3,15986496517.65
BBG000C5Z1S3,50045311988.16
BBG000BPQD31,22377441213.945
BBG004MN1R41,3630883462.415
BBG000BPT0C6,12807503714.88
BBG000BSRN78,13488510427.2
BBG000F5VVB6,13269843373.59
BBG000BJSBJ0,72102541215.68
BBG000BPWXK1,20917456353.4
BBG000CL9VN6,120359945142.96
BBG000BK6G19,5104251565.35
BBG000BPZBB6,7833821299.18
BBG000C5HS04,110778387700.97
BBG0088CYPX8,11854850615.28
BBG000BQ2C28,62121413831.4
BBG000BJX8C8,13261224002.845
BBG000D8RG11,7982539752.79
BBG000BQ5DS5,40384407812.4
BBG000FP1N32,14921664870.63
BBG000BQ74K1,23660894157.12
BBG000BQ8KV2,20782212979.38
BBG000BBJQV0,148916319000
BBG000BQC9V2,13521908010
BBG0035M2ZB7,9576177104.64
BBG0035LY913,9576177104.64
BBG000DHPN63,13858206660.52
BBG000BQHGR6,23564872760.97
BBG000BS9489,17868586554.11
BBG000BQLTW7,208594544780
BBG000BGYWY6,21227290686.6
BBG000BQQ2S6,53062112360.98
BBG000BQSQ38,23817587985.22
BBG000BQT4L6,6817694102.45
BBG000BQVTF5,24203840000
BBG000BQWPC5,20526666133.7
BBG000BLBVN4,91049816209.24
BBG000BQY289,2937647520
BBG000BQZMH4,24522639811.86
BBG000DH7JK6,156966315210.396
BBG000BR2B91,212111769875.445
BBG000NSCNT7,18102101903.485
BBG000BR2TH3,206822840000
BBG000BR37X2,32940711000
BBG000BR3KL6,24472949183.36
BBG000BR54L0,8449286236.82
BBG000BB8SW7,11047971680.405
BBG000FXW512,8418453545.125
BBG000B9Z0J8,32308442848.91
BBG000J2XL74,160370986968.5
BBG000BRD0D8,76028254732.99
BBG000C221G9,12811695935.05
BBG000BRDSX5,8669113242.25
BBG000BRJ809,29509028494.92
BBG000BRJL00,21242665710
BBG000CNFQW6,12560175498.78
BBG000HCJMF9,46555200000
BBG000BPPN67,33092197380.66
BBG00286S4N9,46701203281.92
BBG000BRRG02,11594404573.81
